Record #,Record Type,Title,Type of Improvement,Date Issued,Type of Property,Full Address,Estimated Project Value,Contractor Used,Project Description
HVAC-25-304,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Other,9/26/2025 19:06,Residential,"147 WISE AVE NE, NORTH CANTON, OH 44720",863,Wyles Heating & Air Conditioning,install room heater
ROOF-25-181,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/26/2025 16:15,Residential,"907 E MAPLE ST, NORTH CANTON, OH 44720",3000,"White Glove Exteriors, Inc","Remove Existing shingles from Flat roof. Install new 7/16"" OSB over 1x decking, and install new 2 ply modifuied Bitumen rolled roofing sysytem to entire deck with new drip edge. Existing  slope is 2/12"
HVAC-25-303,HVAC/Mechanical Permit,Commercial HVAC/Mechanical Permit,Furnace/Air Conditioner,9/26/2025 13:31,Commercial/Industrial,"179 APPLEGROVE ST NE, Unit B5, NORTH CANTON, OH 44720",3363,Wyles Heating & Air Conditioning,replace air conditioner
LTRL-25-61,Water or Sewer Lateral Permit,Residential Plumbing Permit,Water Lateral Repair/Replace,9/26/2025 13:54,Residential,"220 BRIAR AVE NE, NORTH CANTON, OH 44720",800,"That Handyman, LLC dba That Plumber",Lateral repair
WNDW-25-76,Window Permit,Residential Window Permit,Replacement (Exact),9/26/2025 0:22,Residential,"331 ORION ST NE, NORTH CANTON, OH 44720",1000,,change existing window
WNDW-25-75,Window Permit,Residential Window Permit,Repalcement with Alterations,9/26/2025 0:20,Residential,"1378 CASTLEWOOD AVE SW, NORTH CANTON, OH 44720",6800,,Installing an egress window
HVAC-25-300,HVAC/Mechanical Permit,Commercial HVAC/Mechanical Permit,Hood,9/24/2025 14:08,Commercial/Industrial,"1022 N MAIN ST, NORTH CANTON, OH 44720",30000,Be-Safe Fire and Security Inc.,Installation of hood system
HVAC-25-299,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,9/24/2025 12:40,Residential,"676 EVERHARD RD SW, NORTH CANTON, OH 44709",12210,"J&J Plumbing, Heating, Cooling, and Electric",Install new furance and AC
HVAC-25-298,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,9/25/2025 12:12,Residential,"1332 ALEXANDRIA PKWY SE, CANTON, OH 44709",4341.1,Bonsky Heating & Cooling LLC,Replace Furnace
ELCT-25-166,Electrical Permit,Residential Electrical Permit,New Construction/Addition,9/26/2025 12:30,Residential,"1324 SHILOH RUN SE, CANTON, OH 44709",15000,"O.D. Miller Electric Co., Inc.",new construction & 100amp underground temporary pole
PLMB-25-183,Plumbing Permit,Residential Plumbing Permit,Other,9/24/2025 17:01,Residential,"975 DUNWAY AVE NE, NORTH CANTON, OH 44720",2000,"JD Indoor Comfort, Inc","putting in new gas, water and sanitary lines"
ROOF-25-180,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/25/2025 18:22,Residential,"363 ROSE LANE ST SW, NORTH CANTON, OH 44720",24912,At Your Service Roofing,Residential tear off and re-roof
PLMB-25-181,Plumbing Permit,Residential Plumbing Permit,Natural Gas Line,9/23/2025 13:03,Residential,"236 EASTBURY AVE NE, NORTH CANTON, OH 44720",2000,A.W. Mechanical Contractors LLC,Gas line to pool heater
HVAC-25-297,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,9/26/2025 12:47,Residential,"1338 E MAPLE ST, NORTH CANTON, OH 44720",14000,ComfortPro Heating and Cooling LLC,Replace furnace
HVAC-25-296,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Heat Pump,9/23/2025 13:16,Residential,"824 HARMON ST SW, NORTH CANTON, OH 44720",11650,SITTLER ENTERPRISES,ADDING DUCTLESS MINI SPLIT TO HOME IN SUN ROOM
HVAC-25-295,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,9/23/2025 13:14,Residential,"1150 JANET AVE NW, NORTH CANTON, OH 44720",12141,SITTLER ENTERPRISES,replacing furnace and ac
PLMB-25-180,Plumbing Permit,Residential Plumbing Permit,Water Heater,9/22/2025 13:01,Residential,"1153 SPRUCEWOOD ST SE, NORTH CANTON, OH 44720",1600,By-tor Contracting Inc,Replacement of a hot water heater
ROOF-25-179,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/19/2025 17:21,Residential,"416 BROWNING AVE NW, NORTH CANTON, OH 44720",11000,Canton Roofing Co.,Roof Replacement
